name,center_lat,center_lng,rating,google Maps URL,opening hours,bearing,duration,zoom,pitch,speed,active
Steep Station Kava Bar,27.7704021,-82.6638091,4.5,https://maps.google.com/?cid=13476015712952427764,"Monday: 9:00 AM – 11:00 PM, Tuesday: 9:00 AM – 1:00 AM, Wednesday: 9:00 AM – 11:00 PM, Thursday: 9:00 AM – 11:00 PM, Friday: 9:00 AM – 12:00 AM, Saturday: 9:00 AM – 12:00 AM, Sunday: 10:00 AM – 11:00 PM",,,,,,
Dunkin',27.7829516,-82.6387793,3.5,https://maps.google.com/?cid=1777879510948270116,"Monday: 5:00 AM – 9:00 PM, Tuesday: 5:00 AM – 9:00 PM, Wednesday: 5:00 AM – 9:00 PM, Thursday: 5:00 AM – 9:00 PM, Friday: 5:00 AM – 9:00 PM, Saturday: 5:00 AM – 9:00 PM, Sunday: 5:00 AM – 9:00 PM",,,,,,
Dunkin',27.75510149999999,-82.6386967,3.3,https://maps.google.com/?cid=2039066339995237971,"Monday: 5:00 AM – 10:00 PM, Tuesday: 5:00 AM – 10:00 PM, Wednesday: 5:00 AM – 10:00 PM, Thursday: 5:00 AM – 10:00 PM, Friday: 5:00 AM – 10:00 PM, Saturday: 5:00 AM – 10:00 PM, Sunday: 5:00 AM – 10:00 PM",,,,,,
Dunkin',27.7329858,-82.6788521,3,https://maps.google.com/?cid=16449582344455289178,"Monday: 5:00 AM – 7:00 PM, Tuesday: 5:00 AM – 7:00 PM, Wednesday: 5:00 AM – 7:00 PM, Thursday: 5:00 AM – 7:00 PM, Friday: 5:00 AM – 7:00 PM, Saturday: 5:00 AM – 7:00 PM, Sunday: 5:00 AM – 7:00 PM",,,,,,
Sorrento Sweets,27.7713922,-82.6430057,4.1,https://maps.google.com/?cid=10223138688635780042,"Monday: 8:00 AM – 7:00 PM, Tuesday: 8:00 AM – 7:00 PM, Wednesday: 8:00 AM – 7:00 PM, Thursday: 8:00 AM – 7:00 PM, Friday: 8:00 AM – 9:00 PM, Saturday: 9:00 AM – 9:00 PM, Sunday: 10:00 AM – 6:00 PM",,,,,,
Crislip Cafe,27.77147799999999,-82.6424782,4.7,https://maps.google.com/?cid=15592137301264282181,"Monday: 8:00 AM – 5:00 PM, Tuesday: 8:00 AM – 5:00 PM, Wednesday: 8:00 AM – 5:00 PM, Thursday: 8:00 AM – 5:00 PM, Friday: 8:00 AM – 5:00 PM, Saturday: 9:00 AM – 5:00 PM, Sunday: 9:00 AM – 5:00 PM",,,,,,
Flatbread & Butter,27.7795782,-82.64043699999999,4.6,https://maps.google.com/?cid=10848181766805815133,"Monday: 7:30 AM – 4:00 PM, Tuesday: 7:30 AM – 4:00 PM, Wednesday: 7:30 AM – 9:00 PM, Thursday: 7:30 AM – 9:00 PM, Friday: 7:30 AM – 9:00 PM, Saturday: 8:00 AM – 9:00 PM, Sunday: 8:00 AM – 4:00 PM",,,,,,
Cafe Gala,27.7660055,-82.6314498,4.5,https://maps.google.com/?cid=14265134516948146489,"Monday: 10:00 AM – 6:00 PM, Tuesday: 10:00 AM – 6:00 PM, Wednesday: 10:00 AM – 6:00 PM, Thursday: 10:00 AM – 6:00 PM, Friday: 10:00 AM – 6:00 PM, Saturday: 10:00 AM – 6:00 PM, Sunday: 10:00 AM – 6:00 PM",,,,,,
Speakeasy Central Kava Bar,27.7712148,-82.6617765,4.8,https://maps.google.com/?cid=13252175600642209373,"Monday: 7:00 AM – 1:00 AM, Tuesday: 7:00 AM – 1:00 AM, Wednesday: 7:00 AM – 1:00 AM, Thursday: 7:00 AM – 1:00 AM, Friday: 7:00 AM – 1:00 AM, Saturday: 7:00 AM – 1:00 AM, Sunday: 7:00 AM – 1:00 AM",,,,,,
Annex 400 Beach,27.777016,-82.63164739999999,4.2,https://maps.google.com/?cid=2149074429678217206,"Monday: 8:00 AM – 8:00 PM, Tuesday: 8:00 AM – 8:00 PM, Wednesday: 8:00 AM – 8:00 PM, Thursday: 8:00 AM – 8:00 PM, Friday: 8:00 AM – 8:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 8:00 PM",,,,,,
Blush Tea and Coffee St Pete,27.7935469,-82.6470645,4.8,https://maps.google.com/?cid=1324127731409640190,"Monday: Closed, Tuesday: 7:00 AM – 5:00 PM, Wednesday: 7:00 AM – 5:00 PM, Thursday: 7:00 AM – 5:00 PM, Friday: 7:00 AM – 5:00 PM, Saturday: 8:00 AM – 5:00 PM, Sunday: 8:00 AM – 3:00 PM",,,,,,
TeBella Tea St. Pete,27.7712937,-82.6540914,4.8,https://maps.google.com/?cid=16011749243467056505,"Monday: 10:00 AM – 7:00 PM, Tuesday: 10:00 AM – 7:00 PM, Wednesday: 10:00 AM – 7:00 PM, Thursday: 10:00 AM – 7:00 PM, Friday: 10:00 AM – 7:00 PM, Saturday: 10:00 AM – 7:00 PM, Sunday: 11:00 AM – 6:00 PM",,,,,,
The Wooden Rooster,27.773369,-82.6336591,4.3,https://maps.google.com/?cid=6993236146531077404,"Monday: 7:00 AM – 5:00 PM, Tuesday: 7:00 AM – 5:00 PM, Wednesday: 7:00 AM – 5:00 PM, Thursday: 7:00 AM – 5:00 PM, Friday: 7:00 AM – 5:00 PM, Saturday: 7:00 AM – 5:00 PM, Sunday: 7:00 AM – 5:00 PM",,,,,,
The Sourdough Co,27.77127699999999,-82.650566,4.1,https://maps.google.com/?cid=10167017436821954990,"Monday: 8:00 AM – 6:00 PM, Tuesday: 8:00 AM – 6:00 PM, Wednesday: 8:00 AM – 6:00 PM, Thursday: 8:00 AM – 6:00 PM, Friday: 8:00 AM – 6:00 PM, Saturday: 8:00 AM – 6:00 PM, Sunday: 8:00 AM – 6:00 PM",,,,,,
Rose’s Coffee Bar St Pete,27.77084289999999,-82.6515321,No rating available,https://maps.google.com/?cid=8204088287166679163,No hours available,,,,,,
Paciugo Gelato & Caffè,27.7755603,-82.6323137,4.7,https://maps.google.com/?cid=3743866562229038698,"Monday: 12:00 – 10:00 PM, Tuesday: 12:00 – 10:00 PM, Wednesday: 12:00 – 10:00 PM, Thursday: 12:00 – 10:00 PM, Friday: 12:00 – 11:00 PM, Saturday: 11:00 AM – 11:00 PM, Sunday: 11:00 AM – 10:00 PM",,,,,,
The Scott,27.7737869,-82.6367294,4.9,https://maps.google.com/?cid=8149337387550146209,"Monday: 8:00 AM – 10:00 PM, Tuesday: 8:00 AM – 10:00 PM, Wednesday: 8:00 AM – 10:00 PM, Thursday: 8:00 AM – 10:00 PM, Friday: 8:00 AM – 10:00 PM, Saturday: 8:00 AM – 10:00 PM, Sunday: 8:00 AM – 8:00 PM",,,,,,
Trip's Diner,27.793734,-82.646497,4.5,https://maps.google.com/?cid=12310031646450576813,"Monday: 7:00 AM – 9:00 PM, Tuesday: 7:00 AM – 9:00 PM, Wednesday: 7:00 AM – 9:00 PM, Thursday: 7:00 AM – 9:00 PM, Friday: 7:00 AM – 9:00 PM, Saturday: 7:00 AM – 9:00 PM, Sunday: 7:00 AM – 3:00 PM",,,,,,
Doakes N Doodle Cafe,27.7989518,-82.6470106,4.7,https://maps.google.com/?cid=2653822147942402560,"Monday: 8:00 AM – 1:00 PM, Tuesday: 8:00 AM – 1:00 PM, Wednesday: Closed, Thursday: Closed, Friday: Closed, Saturday: Closed, Sunday: 8:00 AM – 1:00 PM",,,,,,
Bay Coffee and Tea Company @ USF St. Pete,27.7645786,-82.63725509999999,No rating available,https://maps.google.com/?cid=16959498977692568676,No hours available,,,,,,
Panera Bread,27.7899635,-82.6387377,4,https://maps.google.com/?cid=177244030574287458,"Monday: 6:00 AM – 9:00 PM, Tuesday: 6:00 AM – 9:00 PM, Wednesday: 6:00 AM – 9:00 PM, Thursday: 6:00 AM – 9:00 PM, Friday: 6:00 AM – 9:00 PM, Saturday: 6:00 AM – 9:00 PM, Sunday: 7:00 AM – 8:00 PM",,,,,,
Koffee Korner,27.7786029,-82.650757,No rating available,https://maps.google.com/?cid=2510792979554509755,"Monday: 7:00 AM – 7:00 PM, Tuesday: 7:00 AM – 7:00 PM, Wednesday: 7:00 AM – 7:00 PM, Thursday: 7:00 AM – 7:00 PM, Friday: 7:00 AM – 7:00 PM, Saturday: 7:00 AM – 7:00 PM, Sunday: 7:00 AM – 7:00 PM",,,,,,
Qargo Coffee,27.7708307,-82.6474674,No rating available,https://maps.google.com/?cid=4413592164283559283,No hours available,,,,,,
Daycation Coffee,27.7732051,-82.6464768,No rating available,https://maps.google.com/?cid=3647177992125564065,No hours available,,,,,,
Southside Coffee Brew Bar,27.7328989,-82.6405728,4.9,https://maps.google.com/?cid=12433182561563878998,"Monday: 6:00 AM – 1:00 PM, Tuesday: 6:00 AM – 1:00 PM, Wednesday: 6:00 AM – 1:00 PM, Thursday: 6:00 AM – 1:00 PM, Friday: 6:00 AM – 1:00 PM, Saturday: 6:00 AM – 1:00 PM, Sunday: 7:00 AM – 2:00 PM",,,,,,
Flip Crêpes and Waffles,27.7713842,-82.6422144,4.8,https://maps.google.com/?cid=7687591553593005958,"Monday: 9:30 AM – 5:00 PM, Tuesday: 9:30 AM – 5:00 PM, Wednesday: 9:30 AM – 5:00 PM, Thursday: 9:30 AM – 5:00 PM, Friday: 9:30 AM – 5:00 PM, Saturday: 9:30 AM – 5:00 PM, Sunday: 9:30 AM – 5:00 PM",,,,,,
Bean Wandering,27.7707906,-82.6873234,5,https://maps.google.com/?cid=189728374555571477,"Monday: Closed, Tuesday: 7:00 AM – 4:00 PM, Wednesday: 7:00 AM – 4:00 PM, Thursday: 7:00 AM – 4:00 PM, Friday: 7:00 AM – 4:00 PM, Saturday: 7:00 AM – 4:00 PM, Sunday: 7:00 AM – 4:00 PM",,,,,,
Central Diner (formerly Central Coffee Shoppe),27.7708733,-82.64088699999999,4.6,https://maps.google.com/?cid=353012210233712999,"Monday: 6:30 AM – 1:00 PM, Tuesday: 6:30 AM – 1:00 PM, Wednesday: 6:30 AM – 1:00 PM, Thursday: 6:30 AM – 1:00 PM, Friday: 6:30 AM – 1:00 PM, Saturday: 7:30 AM – 2:00 PM, Sunday: 7:30 AM – 2:00 PM",,,,,,
Black Crow Coffee Shop,27.7798004,-82.6357563,4.7,https://maps.google.com/?cid=3313659867624696122,"Monday: 7:00 AM – 4:00 PM, Tuesday: 7:00 AM – 4:00 PM, Wednesday: 7:00 AM – 4:00 PM, Thursday: 7:00 AM – 4:00 PM, Friday: 7:00 AM – 4:00 PM, Saturday: 7:00 AM – 4:00 PM, Sunday: 7:00 AM – 4:00 PM",,,,,,
Chai Mixology,27.7709352,-82.6501286,4.8,https://maps.google.com/?cid=10810054350063239922,"Monday: 11:00 AM – 7:00 PM, Tuesday: 11:00 AM – 7:00 PM, Wednesday: 11:00 AM – 7:00 PM, Thursday: 11:00 AM – 7:00 PM, Friday: 11:00 AM – 7:00 PM, Saturday: 11:00 AM – 7:00 PM, Sunday: 11:00 AM – 5:00 PM",,,,,,
Gypsy Souls Coffeehouse St. Pete & Gypsy Beans Coffee Roasters,27.7779372,-82.6463924,4.7,https://maps.google.com/?cid=6212471881144017653,"Monday: 7:00 AM – 5:00 PM, Tuesday: 7:00 AM – 5:00 PM, Wednesday: 7:00 AM – 5:00 PM, Thursday: 7:00 AM – 5:00 PM, Friday: 7:00 AM – 5:00 PM, Saturday: 7:00 AM – 2:00 PM, Sunday: 8:00 AM – 2:00 PM",,,,,,
